county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,03-07,U.S. Senate Vacancy,,D,"SCHATZ, Brian",141,42,156,339
County of Hawaii,03-07,U.S. House,2,R,"CROWLEY, Kawika",19,7,10,36
County of Hawaii,03-07,U.S. House,2,D,"GABBARD, Tulsi",146,48,170,364
County of Hawaii,03-07,U.S. House,2,L,"KENT, Joe",0,1,2,3
County of Hawaii,03-07,Governor,,R,AIONA / AHU,33,17,52,102
County of Hawaii,03-07,Governor,,L,DAVIS / MARLIN,3,0,3,6
County of Hawaii,03-07,Governor,,I,HANNEMANN / CHANG,43,15,29,87
County of Hawaii,03-07,Governor,,D,IGE / TSUTSUI,89,27,101,217
County of Hawaii,03-07,State Representative,3,R,"DICKSON, Bill",15,7,11,33
County of Hawaii,03-07,State Representative,3,L,"FOGEL, Fred F.",9,1,10,20
County of Hawaii,03-07,State Representative,3,D,"ONISHI, Richard H.K.",140,50,157,347
County of Hawaii,04-01,U.S. Senate Vacancy,,R,"CAVASSO, Cam",249,104,336,689
County of Hawaii,04-01,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",40,15,76,131
County of Hawaii,04-01,U.S. Senate Vacancy,,D,"SCHATZ, Brian",694,282,895,1871
County of Hawaii,04-01,U.S. House,2,R,"CROWLEY, Kawika",203,72,237,512
County of Hawaii,04-01,U.S. House,2,D,"GABBARD, Tulsi",735,302,1001,2038
County of Hawaii,04-01,U.S. House,2,L,"KENT, Joe",41,18,62,121
County of Hawaii,04-01,Governor,,R,AIONA / AHU,346,131,429,906
County of Hawaii,04-01,Governor,,L,DAVIS / MARLIN,35,7,69,111
County of Hawaii,04-01,Governor,,I,HANNEMANN / CHANG,160,70,196,426
County of Hawaii,04-01,Governor,,D,IGE / TSUTSUI,455,194,625,1274
County of Hawaii,04-01,State Representative,4,D,"SANBUENAVENTURA, Joy A.",646,264,868,1778
County of Hawaii,04-01,State Representative,4,R,"THOMAS, Gary",298,124,402,824
County of Hawaii,04-02,U.S. Senate Vacancy,,R,"CAVASSO, Cam",96,31,88,215
County of Hawaii,04-02,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",25,7,22,54
County of Hawaii,04-02,U.S. Senate Vacancy,,D,"SCHATZ, Brian",375,67,302,744
County of Hawaii,04-02,U.S. House,2,R,"CROWLEY, Kawika",74,21,76,171
County of Hawaii,04-02,U.S. House,2,D,"GABBARD, Tulsi",410,82,319,811
County of Hawaii,04-02,U.S. House,2,L,"KENT, Joe",15,4,15,34
County of Hawaii,04-02,Governor,,R,AIONA / AHU,156,47,127,330
County of Hawaii,04-02,Governor,,L,DAVIS / MARLIN,23,5,16,44
County of Hawaii,04-02,Governor,,I,HANNEMANN / CHANG,77,14,79,170
County of Hawaii,04-02,Governor,,D,IGE / TSUTSUI,251,41,193,485
County of Hawaii,04-02,State Representative,4,D,"SANBUENAVENTURA, Joy A.",372,74,266,712
County of Hawaii,04-02,State Representative,4,R,"THOMAS, Gary",110,32,125,267
County of Hawaii,04-03,U.S. Senate Vacancy,,R,"CAVASSO, Cam",106,30,94,230
County of Hawaii,04-03,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",35,9,52,96
County of Hawaii,04-03,U.S. Senate Vacancy,,D,"SCHATZ, Brian",498,114,390,1002
County of Hawaii,04-03,U.S. House,2,R,"CROWLEY, Kawika",90,27,69,186
County of Hawaii,04-03,U.S. House,2,D,"GABBARD, Tulsi",511,114,429,1054
County of Hawaii,04-03,U.S. House,2,L,"KENT, Joe",37,11,40,88
County of Hawaii,04-03,Governor,,R,AIONA / AHU,152,39,141,332
County of Hawaii,04-03,Governor,,L,DAVIS / MARLIN,36,10,41,87
County of Hawaii,04-03,Governor,,I,HANNEMANN / CHANG,95,26,79,200
County of Hawaii,04-03,Governor,,D,IGE / TSUTSUI,361,80,283,724
County of Hawaii,04-03,State Representative,4,D,"SANBUENAVENTURA, Joy A.",468,116,369,953
County of Hawaii,04-03,State Representative,4,R,"THOMAS, Gary",149,36,152,337
County of Hawaii,04-04,U.S. Senate Vacancy,,R,"CAVASSO, Cam",109,29,83,221
County of Hawaii,04-04,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",38,14,34,86
County of Hawaii,04-04,U.S. Senate Vacancy,,D,"SCHATZ, Brian",479,154,290,923
County of Hawaii,04-04,U.S. House,2,R,"CROWLEY, Kawika",86,22,66,174
County of Hawaii,04-04,U.S. House,2,D,"GABBARD, Tulsi",504,169,307,980
County of Hawaii,04-04,U.S. House,2,L,"KENT, Joe",36,8,31,75
County of Hawaii,04-04,Governor,,R,AIONA / AHU,152,48,101,301
